it_category,claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
"Cloud, data and analytics",Strong fit,IRB Digital Case Management TBIPS,2026-09-11T14:00:00,2026-08-21,Immigration and Refugee Board (IRB),,*Information technology consultation services,*SRV,david.periard@irb-cisr.gc.ca,,"Cloud, data and analytics: artificial intelligence, cloud; UNSPSC/category *Information technology consultation services"
"Cloud, data and analytics",Unlikely,RFP FOR FIRST LINE OF DEFENCE SECURITY SOLUTION,2026-09-21T14:00:00,2026-08-21,Canada Mortgage and Housing Corporation (CNHC),,*Cloud-based software as a service,*SRV,ccbrown@cmhc-schl.gc.ca,,"Cloud, data and analytics: cloud; UNSPSC/category *Cloud-based software as a service"
Cybersecurity and identity,Unlikely,INVITATION TO SUBMIT AN EXPRESSION OF INTEREST (EOI) – Office space ᐃᓇᑦᓯᓂᖅ ᑐᓂᓯᓂᕐᒥᒃ ᐱᒐᓱᐊᕈᒪᓂᕐᒥᒃ  (EOI),2026-09-11T17:00:00,2026-08-21,Department of Public Works and Government Services (PSPC),,*Lease and rental of property or building,*SRV,Jeff.Tait3@pwgsc-tpsgc.gc.ca,,Cybersecurity and identity: threat
IT infrastructure and operations,Possible fit,Ergonomics Services,2026-09-22T14:00:00,2026-08-21,Canada Revenue Agency (CRA),,*Ergonomic support aids,*SRV,Furqana.Mehkari@cra-arc.gc.ca,,IT infrastructure and operations: network
IT infrastructure and operations,Possible fit,5P052-240474 - Parks Canada Uniform Program,2026-10-01T14:00:00,2026-08-21,Department of Public Works and Government Services (PSPC),,*Uniforms,*GD,aurora.hudson@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110022457?anId=ANONYMOUS,IT infrastructure and operations: network
IT infrastructure and operations,Unlikely,Specialized Communication Equipment and Services,2026-08-28T23:59:00,2026-08-21,Department of National Defence (DND),,*Network system cabling box,*GD,christopher.muldoon@forces.gc.ca,,IT infrastructure and operations: network
IT infrastructure and operations,Unlikely,Synology 12-Bay Rackmount,2026-09-04T14:00:00,2026-08-21,Shared Services Canada,*N7025,,*GD,,,IT infrastructure and operations: storage; GSIN *N7025
IT infrastructure and operations,Unlikely,RFSO (EP361-261511) - PSPC - Advertising Creative Production Services,2026-09-30T14:00:00,2026-08-21,Department of Public Works and Government Services (PSPC),,"*Advertising
*Advertising agency services",*SRV,constantinos.tountas@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110022438?anId=ANONYMOUS,"IT infrastructure and operations: network, service desk"
Other IT,Possible fit,Isothermal Calorimeter,2026-09-16T14:00:00,2026-08-21,National Research Council of Canada (NRC),,"*Temperature and heat measuring instruments
*Analytical or scientific software",*GD,hongli.wang@nrc-cnrc.gc.ca,,"UNSPSC/category *Temperature and heat measuring instruments
*Analytical or scientific software"
Other IT,Unlikely,Classified Solutions Modernization - DFATD,2026-08-27T14:00:00,2026-08-21,"Department of Foreign Affairs, Trade and Development (GAC)",,*Information Technology Service Delivery,*SRV,Tony.Truong@international.gc.ca,,UNSPSC/category *Information Technology Service Delivery
